din_instante,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2020-01-01,S,Sul,2020-01-01,9969.994875
2020-01-02,S,Sul,2020-01-02,11190.42941667
2020-01-03,S,Sul,2020-01-03,11121.44704167
2020-01-04,S,Sul,2020-01-04,10443.86595833
2020-01-05,S,Sul,2020-01-05,9790.93504167
2020-01-06,S,Sul,2020-01-06,12860.62933333
2020-01-07,S,Sul,2020-01-07,13524.41445833
2020-01-08,S,Sul,2020-01-08,13620.05170833
2020-01-09,S,Sul,2020-01-09,14531.329875
2020-01-10,S,Sul,2020-01-10,14553.25654167
2020-01-11,S,Sul,2020-01-11,11907.31766667
2020-01-12,S,Sul,2020-01-12,10600.99808333
2020-01-13,S,Sul,2020-01-13,13473.66679167
2020-01-14,S,Sul,2020-01-14,13999.02316667
2020-01-15,S,Sul,2020-01-15,14459.128875
2020-01-16,S,Sul,2020-01-16,13487.27825
2020-01-17,S,Sul,2020-01-17,12443.80875
2020-01-18,S,Sul,2020-01-18,10874.71595833
2020-01-19,S,Sul,2020-01-19,10135.52683333
2020-01-20,S,Sul,2020-01-20,13760.19
2020-01-21,S,Sul,2020-01-21,13851.22775
2020-01-22,S,Sul,2020-01-22,12907.69633333
2020-01-23,S,Sul,2020-01-23,12657.54279167
2020-01-24,S,Sul,2020-01-24,12848.32791667
2020-01-25,S,Sul,2020-01-25,11561.634125
2020-01-26,S,Sul,2020-01-26,10663.823375
2020-01-27,S,Sul,2020-01-27,14088.99970833
2020-01-28,S,Sul,2020-01-28,14220.9315
2020-01-29,S,Sul,2020-01-29,13864.235875
2020-01-30,S,Sul,2020-01-30,13507.5145
2020-01-31,S,Sul,2020-01-31,13653.178875
2020-02-01,S,Sul,2020-02-01,11781.185375
2020-02-02,S,Sul,2020-02-02,10266.56725
2020-02-03,S,Sul,2020-02-03,13174.125
2020-02-04,S,Sul,2020-02-04,13652.06325
2020-02-05,S,Sul,2020-02-05,14080.22779167
2020-02-06,S,Sul,2020-02-06,14450.60575
2020-02-07,S,Sul,2020-02-07,14507.45254167
2020-02-08,S,Sul,2020-02-08,12704.85441667
2020-02-09,S,Sul,2020-02-09,10650.45454167
2020-02-10,S,Sul,2020-02-10,12765.57416667
2020-02-11,S,Sul,2020-02-11,12964.20629167
2020-02-12,S,Sul,2020-02-12,13155.1195
2020-02-13,S,Sul,2020-02-13,13542.38570833
2020-02-14,S,Sul,2020-02-14,13741.32304167
2020-02-15,S,Sul,2020-02-15,12423.63895833
2020-02-16,S,Sul,2020-02-16,11269.236
2020-02-17,S,Sul,2020-02-17,14835.65891667
2020-02-18,S,Sul,2020-02-18,15047.13170833
2020-02-19,S,Sul,2020-02-19,14662.95129167
2020-02-20,S,Sul,2020-02-20,14539.47479167
2020-02-21,S,Sul,2020-02-21,13433.861125
2020-02-22,S,Sul,2020-02-22,10714.01308333
2020-02-23,S,Sul,2020-02-23,9330.981875
2020-02-24,S,Sul,2020-02-24,11902.68279167
2020-02-25,S,Sul,2020-02-25,12339.60929167
2020-02-26,S,Sul,2020-02-26,12475.394125
2020-02-27,S,Sul,2020-02-27,12387.89283333
2020-02-28,S,Sul,2020-02-28,12678.36941667
2020-02-29,S,Sul,2020-02-29,11200.682625
2020-03-01,S,Sul,2020-03-01,9662.94283333
2020-03-02,S,Sul,2020-03-02,12584.34016667
2020-03-03,S,Sul,2020-03-03,12967.72970833
2020-03-04,S,Sul,2020-03-04,13265.85466667
2020-03-05,S,Sul,2020-03-05,13346.82166667
2020-03-06,S,Sul,2020-03-06,13324.3565
2020-03-07,S,Sul,2020-03-07,11494.402125
2020-03-08,S,Sul,2020-03-08,10160.38795833
2020-03-09,S,Sul,2020-03-09,13707.09333333
2020-03-10,S,Sul,2020-03-10,14430.98404167
2020-03-11,S,Sul,2020-03-11,14596.00720833
2020-03-12,S,Sul,2020-03-12,14910.9215
2020-03-13,S,Sul,2020-03-13,15246.61079167
2020-03-14,S,Sul,2020-03-14,13119.81341667
2020-03-15,S,Sul,2020-03-15,11488.32733333
2020-03-16,S,Sul,2020-03-16,14033.01829167
2020-03-17,S,Sul,2020-03-17,13957.62120833
2020-03-18,S,Sul,2020-03-18,13643.74620833
2020-03-19,S,Sul,2020-03-19,13248.74941667
2020-03-20,S,Sul,2020-03-20,12563.92895833
2020-03-21,S,Sul,2020-03-21,10639.97066667
2020-03-22,S,Sul,2020-03-22,9502.74875
2020-03-23,S,Sul,2020-03-23,11282.44945833
2020-03-24,S,Sul,2020-03-24,11257.39779167
2020-03-25,S,Sul,2020-03-25,11181.46545833
2020-03-26,S,Sul,2020-03-26,11236.18183333
2020-03-27,S,Sul,2020-03-27,11156.03383333
2020-03-28,S,Sul,2020-03-28,10337.09579167
2020-03-29,S,Sul,2020-03-29,9546.327125
2020-03-30,S,Sul,2020-03-30,11672.01116667
2020-03-31,S,Sul,2020-03-31,12053.530125
2020-04-01,S,Sul,2020-04-01,11986.27870833
2020-04-02,S,Sul,2020-04-02,11603.07229167
2020-04-03,S,Sul,2020-04-03,10542.70408333
2020-04-04,S,Sul,2020-04-04,9404.86233333
2020-04-05,S,Sul,2020-04-05,8606.50120833
2020-04-06,S,Sul,2020-04-06,10765.667125
2020-04-07,S,Sul,2020-04-07,10531.84933333
2020-04-08,S,Sul,2020-04-08,10394.623
2020-04-09,S,Sul,2020-04-09,10375.29841667
2020-04-10,S,Sul,2020-04-10,8341.962875
2020-04-11,S,Sul,2020-04-11,8581.62966667
2020-04-12,S,Sul,2020-04-12,7975.01479167
2020-04-13,S,Sul,2020-04-13,10513.99254167
2020-04-14,S,Sul,2020-04-14,10743.685625
2020-04-15,S,Sul,2020-04-15,10397.27704167
2020-04-16,S,Sul,2020-04-16,10503.98595833
2020-04-17,S,Sul,2020-04-17,10698.33695833
2020-04-18,S,Sul,2020-04-18,9430.45491667
2020-04-19,S,Sul,2020-04-19,8340.69254167
2020-04-20,S,Sul,2020-04-20,10126.78891667
2020-04-21,S,Sul,2020-04-21,10027.825125
2020-04-22,S,Sul,2020-04-22,11172.55516667
2020-04-23,S,Sul,2020-04-23,11291.68304167
2020-04-24,S,Sul,2020-04-24,11124.03866667
2020-04-25,S,Sul,2020-04-25,10003.671875
2020-04-26,S,Sul,2020-04-26,8968.874875
2020-04-27,S,Sul,2020-04-27,11163.880625
2020-04-28,S,Sul,2020-04-28,11451.994
2020-04-29,S,Sul,2020-04-29,11597.99441667
2020-04-30,S,Sul,2020-04-30,11305.31066667
2020-05-01,S,Sul,2020-05-01,9238.50387394
2020-05-02,S,Sul,2020-05-02,8775.15729167
2020-05-03,S,Sul,2020-05-03,8021.81958333
2020-05-04,S,Sul,2020-05-04,10515.22195859
2020-05-05,S,Sul,2020-05-05,10955.70404184
2020-05-06,S,Sul,2020-05-06,10822.79916667
2020-05-07,S,Sul,2020-05-07,10748.61250049
2020-05-08,S,Sul,2020-05-08,10748.89525089
2020-05-09,S,Sul,2020-05-09,9319.45720839
2020-05-10,S,Sul,2020-05-10,8103.18787509
2020-05-11,S,Sul,2020-05-11,10782.68587491
2020-05-12,S,Sul,2020-05-12,11337.77204127
2020-05-13,S,Sul,2020-05-13,11273.95445833
2020-05-14,S,Sul,2020-05-14,10942.89154167
2020-05-15,S,Sul,2020-05-15,10865.63408333
2020-05-16,S,Sul,2020-05-16,9379.48458333
2020-05-17,S,Sul,2020-05-17,8179.879125
2020-05-18,S,Sul,2020-05-18,10622.69941667
2020-05-19,S,Sul,2020-05-19,10987.97183333
2020-05-20,S,Sul,2020-05-20,11223.83791667
2020-05-21,S,Sul,2020-05-21,11403.77983333
2020-05-22,S,Sul,2020-05-22,11069.26908333
2020-05-23,S,Sul,2020-05-23,9138.3595
2020-05-24,S,Sul,2020-05-24,7939.15295833
2020-05-25,S,Sul,2020-05-25,10088.56783333
2020-05-26,S,Sul,2020-05-26,10575.44095833
2020-05-27,S,Sul,2020-05-27,10855.50658333
2020-05-28,S,Sul,2020-05-28,10897.496125
2020-05-29,S,Sul,2020-05-29,10796.88958333
2020-05-30,S,Sul,2020-05-30,9242.72141667
2020-05-31,S,Sul,2020-05-31,8104.08383333
2020-06-01,S,Sul,2020-06-01,10789.24970833
2020-06-02,S,Sul,2020-06-02,11231.464625
2020-06-03,S,Sul,2020-06-03,11254.103125
2020-06-04,S,Sul,2020-06-04,11279.547875
2020-06-05,S,Sul,2020-06-05,11085.06075
2020-06-06,S,Sul,2020-06-06,9291.31579167
2020-06-07,S,Sul,2020-06-07,7941.04654167
2020-06-08,S,Sul,2020-06-08,10592.30008333
2020-06-09,S,Sul,2020-06-09,11202.32529167
2020-06-10,S,Sul,2020-06-10,10991.25525
2020-06-11,S,Sul,2020-06-11,9304.829875
2020-06-12,S,Sul,2020-06-12,9711.61041667
2020-06-13,S,Sul,2020-06-13,8757.893
2020-06-14,S,Sul,2020-06-14,7691.91670833
2020-06-15,S,Sul,2020-06-15,10130.64275
2020-06-16,S,Sul,2020-06-16,10597.5895
2020-06-17,S,Sul,2020-06-17,10729.49625
2020-06-18,S,Sul,2020-06-18,10826.60595833
2020-06-19,S,Sul,2020-06-19,10816.446375
2020-06-20,S,Sul,2020-06-20,9416.628125
2020-06-21,S,Sul,2020-06-21,8163.09808333
2020-06-22,S,Sul,2020-06-22,10790.94091667
2020-06-23,S,Sul,2020-06-23,11093.5765
2020-06-24,S,Sul,2020-06-24,11109.298125
2020-06-25,S,Sul,2020-06-25,11153.619
2020-06-26,S,Sul,2020-06-26,10803.132375
2020-06-27,S,Sul,2020-06-27,9439.77129167
2020-06-28,S,Sul,2020-06-28,8235.69145833
2020-06-29,S,Sul,2020-06-29,10977.100125
2020-06-30,S,Sul,2020-06-30,10165.92745833
2020-07-01,S,Sul,2020-07-01,9802.92466667
2020-07-02,S,Sul,2020-07-02,10731.51120833
2020-07-03,S,Sul,2020-07-03,10821.10825
2020-07-04,S,Sul,2020-07-04,9269.89145833
2020-07-05,S,Sul,2020-07-05,8136.11554167
2020-07-06,S,Sul,2020-07-06,10764.001375
2020-07-07,S,Sul,2020-07-07,11253.95533333
2020-07-08,S,Sul,2020-07-08,11168.23245833
2020-07-09,S,Sul,2020-07-09,10891.561125
2020-07-10,S,Sul,2020-07-10,10728.58570833
2020-07-11,S,Sul,2020-07-11,9376.03041667
2020-07-12,S,Sul,2020-07-12,8107.26420833
2020-07-13,S,Sul,2020-07-13,10715.875375
2020-07-14,S,Sul,2020-07-14,11072.61745833
2020-07-15,S,Sul,2020-07-15,11110.52966667
2020-07-16,S,Sul,2020-07-16,11382.18325
2020-07-17,S,Sul,2020-07-17,11072.58329167
2020-07-18,S,Sul,2020-07-18,9392.77570833
2020-07-19,S,Sul,2020-07-19,8006.47845833
2020-07-20,S,Sul,2020-07-20,10560.74991667
2020-07-21,S,Sul,2020-07-21,11047.68720833
